Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
11.04.16 14:39:37	  42471,610845	-18,8065	-10,2073	-29,0138	18,9403	18,9768	19,1800	49,3238
11.04.16 14:44:53	  42471,614502	-42,5925	-29,6719	-72,2644	19,0056	19,0380	19,2300	49,4211
11.04.16 14:50:10	  42471,618171	-68,2722	-52,9240	-121,1961	18,9936	19,0239	19,2500	49,2905
11.04.16 14:55:26	  42471,621829	-98,9872	-86,7868	-185,7740	18,9958	19,0835	19,2800	49,3860
11.04.16 15:00:42	  42471,625486	-146,7143	-122,6738	-269,3882	19,0653	19,0869	19,3300	49,3770
11.04.16 15:05:58	  42471,629144	-191,3371	-164,3846	-355,7218	19,1275	19,1407	19,3500	49,4584
11.04.16 15:11:14	  42471,632801	-250,5630	-223,3374	-473,9004	19,1267	19,1488	19,3800	49,4742
11.04.16 15:16:31	  42471,636470	-308,4478	-286,1892	-594,6370	19,1219	19,2143	19,4200	49,5041
11.04.16 15:21:47	  42471,640127	-377,5333	-354,2937	-731,8271	19,1908	19,2060	19,4500	49,9195
11.04.16 15:27:03	  42471,643785	-453,1257	-436,2439	-889,3696	19,1824	19,2003	19,4800	49,8289
11.04.16 15:32:19	  42471,647442	-523,2729	-528,7305	-1052,0034	19,2531	19,2638	19,5100	49,9249
11.04.16 15:37:36	  42471,651111	-605,3969	-615,1137	-1220,5107	19,2516	19,2706	19,5300	50,2201
11.04.16 15:42:52	  42471,654769	-691,7616	-706,9918	-1398,7534	19,2505	19,2687	19,5500	49,8214
11.04.16 15:48:08	  42471,658426	-771,1040	-800,6270	-1571,7310	19,2468	19,3603	19,5900	50,0119
11.04.16 15:53:24	  42471,662083	-856,9037	-886,8178	-1743,7215	19,3124	19,4027	19,6300	49,9615
11.04.16 15:58:41	  42471,665752	-938,0654	-982,6384	-1920,7038	19,3736	19,3933	19,6700	49,8841
11.04.16 16:03:57	  42471,669410	-1009,4233	-1072,6166	-2082,0399	19,3783	19,3938	19,7200	50,1965
11.04.16 16:09:13	  42471,673067	-1085,1026	-1152,3813	-2237,4839	19,3784	19,4535	19,7600	49,9574
11.04.16 16:14:29	  42471,676725	-1150,8167	-1221,0322	-2371,8489	19,4423	19,4540	19,7900	49,8650
11.04.16 16:19:45	  42471,680382	-1209,2541	-1285,7219	-2494,9759	19,4412	19,5140	19,8200	49,8803
11.04.16 16:25:02	  42471,684051	-1248,5807	-1328,8918	-2577,4725	19,5033	19,5108	19,8400	50,3131
11.04.16 16:30:18	  42471,687708	-1277,2841	-1355,1116	-2632,3957	19,5094	19,5148	19,8700	49,9506
11.04.16 16:35:34	  42471,691366	-1290,8566	-1372,0989	-2662,9555	19,5054	19,5143	19,8900	50,0599
11.04.16 16:40:50	  42471,695023	-1294,8054	-1374,8556	-2669,6610	19,5667	19,5904	19,9200	50,2644
11.04.16 16:46:07	  42471,698692	-1296,1216	-1374,7377	-2670,8593	19,5672	19,6471	19,9500	50,1715
11.04.16 16:51:23	  42471,702350	-1294,7184	-1374,7004	-2669,4189	19,5685	19,5786	19,9800	49,9698
11.04.16 16:56:39	  42471,706007	-1293,0793	-1371,5153	-2664,5946	19,6300	19,6657	20,0300	50,2028
