Date and Time     	Excel-Time    	1-Laser	2-Laser	3-Sum  	4-TC1  	5-TC2  	6-Tair 	7-rH%  
04.05.17 12:29:47	  42859,520683	  -3,76	  13,82	  10,06	  18,87	  19,69	  19,57	  52,37
04.05.17 12:32:17	  42859,522419	  -3,69	  25,14	  21,45	  18,87	  19,67	  19,58	  52,18
04.05.17 12:34:46	  42859,524143	  -2,34	  34,56	  32,22	  18,88	  19,64	  19,64	  51,97
04.05.17 12:37:15	  42859,525868	  -3,66	  42,74	  39,07	  18,87	  19,61	  19,65	  52,07
04.05.17 12:39:44	  42859,527593	  -1,05	  48,68	  47,63	  18,87	  19,64	  19,65	  51,94
04.05.17 12:42:13	  42859,529317	  -3,68	  54,07	  50,39	  18,94	  19,61	  19,65	  51,85
04.05.17 12:44:43	  42859,531053	  -2,33	  59,51	  57,18	  18,94	  19,58	  19,66	  51,79
04.05.17 12:47:12	  42859,532778	  -4,97	  63,42	  58,46	  18,94	  19,62	  19,67	  51,85
04.05.17 12:49:48	  42859,534583	  -5,00	  72,62	  67,62	  19,00	  19,59	  19,67	  51,82
04.05.17 12:52:17	  42859,536308	  -2,52	  72,61	  70,09	  19,00	  19,56	  19,68	  51,67
04.05.17 12:54:47	  42859,538044	  -4,04	  79,66	  75,62	  18,94	  19,53	  19,69	  51,61
04.05.17 12:57:16	  42859,539769	  -3,46	  88,21	  84,75	  19,00	  19,51	  19,70	  51,73
04.05.17 12:59:45	  42859,541493	  -3,83	  90,10	  86,27	  19,00	  19,48	  19,71	  51,77
04.05.17 13:02:14	  42859,543218	  -4,59	  96,42	  91,83	  19,00	  19,45	  19,72	  51,80
04.05.17 13:04:43	  42859,544942	  -3,87	 100,48	  96,60	  19,00	  19,49	  19,73	  51,80
04.05.17 13:07:13	  42859,546678	  -5,46	 104,12	  98,66	  19,06	  19,47	  19,75	  51,96
04.05.17 13:09:42	  42859,548403	  -4,58	 108,26	 103,67	  19,07	  19,44	  19,75	  51,80
04.05.17 13:12:18	  42859,550208	  -5,25	 113,06	 107,81	  19,07	  19,48	  19,76	  51,93
04.05.17 13:14:47	  42859,551933	  -6,20	 115,93	 109,73	  19,07	  19,45	  19,77	  52,30
