Date and Time     	Excel-Time    	1-Laser	2-Laser	3-Sum  	4-TC1  	5-TC2  	6-Tair 	7-rH%  
13.04.17 10:56:08	  42838,455648	   0,02	  17,45	  17,47	  18,56	  18,86	  19,28	  54,68
13.04.17 10:58:44	  42838,457454	   0,11	  24,15	  24,25	  18,56	  18,90	  19,30	  54,65
13.04.17 11:01:13	  42838,459178	   0,73	  25,54	  26,26	  18,56	  18,85	  19,30	  54,65
13.04.17 11:03:42	  42838,460903	   1,19	  25,70	  26,88	  18,63	  18,86	  19,31	  54,65
13.04.17 11:06:12	  42838,462639	   1,38	  35,94	  37,33	  18,62	  18,90	  19,32	  54,66
13.04.17 11:08:41	  42838,464363	   1,34	  36,53	  37,87	  18,63	  19,00	  19,33	  54,81
13.04.17 11:11:10	  42838,466088	   1,39	  45,56	  46,95	  18,63	  18,92	  19,35	  54,63
13.04.17 11:13:39	  42838,467812	   1,39	  52,85	  54,24	  18,63	  18,95	  19,36	  54,63
13.04.17 11:16:08	  42838,469537	   1,42	  61,10	  62,52	  18,63	  18,92	  19,37	  54,60
13.04.17 11:18:44	  42838,471343	   1,43	  69,49	  70,92	  18,68	  18,98	  19,38	  54,63
13.04.17 11:21:14	  42838,473079	   1,52	  75,54	  77,06	  18,68	  18,97	  19,39	  54,67
13.04.17 11:23:43	  42838,474803	   2,60	  85,52	  88,12	  18,68	  19,16	  19,40	  54,61
13.04.17 11:26:12	  42838,476528	   2,66	  92,56	  95,22	  18,69	  18,99	  19,40	  54,76
13.04.17 11:28:41	  42838,478252	   2,64	  99,65	 102,29	  18,75	  18,91	  19,41	  54,76
13.04.17 11:31:10	  42838,479977	   2,64	 107,22	 109,87	  18,75	  18,97	  19,42	  54,39
13.04.17 11:33:40	  42838,481713	   2,68	 116,20	 118,89	  18,74	  18,97	  19,43	  54,64
13.04.17 11:36:09	  42838,483437	   2,64	 125,90	 128,53	  18,76	  19,01	  19,44	  54,61
13.04.17 11:38:38	  42838,485162	   2,61	 136,60	 139,21	  18,75	  19,02	  19,44	  54,64
13.04.17 11:41:14	  42838,486968	   2,61	 144,93	 147,54	  18,75	  19,07	  19,46	  54,65
13.04.17 11:43:43	  42838,488692	   2,64	 153,19	 155,84	  18,76	  18,99	  19,47	  54,62
13.04.17 11:46:12	  42838,490417	   2,66	 161,70	 164,36	  18,75	  19,13	  19,48	  54,74
13.04.17 11:48:41	  42838,492141	   2,83	 172,87	 175,70	  18,82	  19,05	  19,49	  54,84
13.04.17 11:51:11	  42838,493877	   3,34	 180,45	 183,79	  18,81	  19,09	  19,50	  54,68
13.04.17 11:53:40	  42838,495602	   3,94	 196,18	 200,12	  18,81	  19,02	  19,52	  54,75
13.04.17 11:56:09	  42838,497326	   3,91	 206,24	 210,16	  18,81	  19,17	  19,53	  54,59
13.04.17 11:58:38	  42838,499051	   3,96	 219,27	 223,23	  18,87	  19,18	  19,55	  54,66
13.04.17 12:01:14	  42838,500856	   3,97	 236,26	 240,23	  18,88	  19,13	  19,57	  54,72
13.04.17 12:03:43	  42838,502581	   3,96	 246,27	 250,23	  18,87	  19,14	  19,57	  54,75
